Geo Code,State,NAME,PRN2010
091230,CT,WEST HARTFORD,"140,600"
091236,CT,WEST HAVEN,"93,302"
099001,CT,Fairfield County,"207,973"
099003,CT,Hartford County,"353,834"
099005,CT,Litchfield County,"218,771"
099007,CT,Middlesex County,"105,538"
099009,CT,New Haven County,"323,692"
099011,CT,New London County,"191,394"
099013,CT,Tolland County,"141,744"
099015,CT,Windham County,"175,333"
100090,DE,DOVER,"34,849"
100336,DE,WILMINGTON,"839,842"
109001,DE,Kent County,"92,206"
109003,DE,NEW CASTLE COUNTY,"813,045"
109005,DE,Sussex County,"165,312"
110006,DC,WASHINGTON,"6,208,967"
120234,FL,BOCA RATON,"60,774"
120264,FL,BOYNTON BEACH,"67,350"
120270,FL,BRADENTON,"61,226"
120402,FL,CAPE CORAL,"89,512"
120492,FL,CLEARWATER,"118,577"
120516,FL,COCOA,"29,116"
120534,FL,COCONUT CREEK,"36,065"
120588,FL,CORAL SPRINGS,"115,352"
120684,FL,DAVIE,"84,178"
120690,FL,DAYTONA BEACH,"104,368"
120708,FL,DEERFIELD BEACH,"94,409"
120732,FL,DELRAY BEACH,"73,875"
120738,FL,DELTONA,"64,199"
120954,FL,FT LAUDERDALE,"706,938"
120966,FL,FT MYERS,"96,086"
120996,FL,FORT PIERCE,"87,530"
121008,FL,FORT WALTON BEACH,"18,078"
121038,FL,GAINESVILLE,"177,072"
121236,FL,HIALEAH,"1,438,075"
121320,FL,HOLLYWOOD,"192,516"
121344,FL,HOMESTEAD CITY,"101,195"
121572,FL,KISSIMMEE,"78,373"
121662,FL,LAKELAND,"98,993"
121710,FL,LARGO,"59,601"
121728,FL,LAUDERHILL,"119,140"
121874,FL,MARCO ISLAND,"9,174"
121878,FL,MARGATE,"52,947"
121926,FL,MELBOURNE,"71,421"
121968,FL,MIAMI,"2,836,556"
121974,FL,MIAMI BEACH,"593,449"
121976,FL,MIAMI GARDENS CITY,"178,315"
122022,FL,MIRAMAR,"99,174"
122064,FL,NAPLES,"14,238"
122142,FL,NORTH MIAMI,"156,689"
122214,FL,OCALA,"62,001"
122292,FL,ORLANDO,"771,360"
122358,FL,PALM BAY,"79,077"
122406,FL,PANAMA CITY,"51,756"
122448,FL,PEMBROKE PINES,"112,436"
122466,FL,PENSACOLA,"122,188"
122514,FL,PLANTATION,"65,592"
122538,FL,POMPANO BEACH,"156,539"
122568,FL,PORT ORANGE,"36,352"
122586,FL,PORT ST LUCIE,"88,643"
122598,FL,PUNTA GORDA,"10,178"
122724,FL,ST PETERSBURG,"758,598"
122766,FL,SARASOTA,"71,601"
122958,FL,SUNRISE,"93,520"
123000,FL,TALLAHASSEE,"659,096"
123006,FL,TAMARAC,"53,454"
123012,FL,TAMPA,"1,281,069"
123048,FL,TITUSVILLE,"43,053"
123114,FL,VENICE,"11,572"
123252,FL,WEST PALM BEACH,"139,888"
123342,FL,WINTERHAVEN,"35,014"
129001,FL,Alachua County,"168,694"
129003,FL,Baker County,"30,323"
129005,FL,Bay County,"127,108"
129007,FL,Bradford County,"36,970"
129009,FL,BREVARD COUNTY,"197,618"
129011,FL,BROWARD COUNTY,"1,255,805"
129013,FL,Calhoun County,"24,434"
129015,FL,Charlotte County,"106,843"
129017,FL,Citrus County,"117,906"
129019,FL,Clay County,"118,921"
129021,FL,COLLIER COUNTY,"739,239"
129023,FL,Columbia County,"75,825"
129027,FL,DeSoto County,"66,425"
129029,FL,Dixie County,"20,266"
129031,FL,JACKSONVILLE‐DUVAL,"2,315,633"
129033,FL,ESCAMBIA COUNTY,"717,642"
129035,FL,Flagler County,"51,904"
129037,FL,Franklin County,"27,751"
129039,FL,Gadsden County,"91,178"
129041,FL,Gilchrist County,"17,931"
129043,FL,Glades County,"16,916"
129045,FL,Gulf County,"23,290"
129047,FL,Hamilton County,"27,426"
129049,FL,Hardee County,"63,711"
129051,FL,Hendry County,"86,322"
129053,FL,Hernando County,"129,662"
129055,FL,Highlands County,"123,193"
129057,FL,HILLSBOROUGH COUNT,"2,050,573"
129059,FL,Holmes County,"39,483"
129061,FL,Indian River County,"113,153"
129063,FL,Jackson County,"108,258"
129065,FL,Jefferson County,"31,737"
129067,FL,Lafayette County,"10,894"
129069,FL,LAKE COUNTY,"131,220"
129071,FL,LEE COUNTY,"738,635"
129073,FL,Leon County,"80,581"
129075,FL,Levy County,"51,960"
129077,FL,Liberty County,"9,882"
129079,FL,Madison County,"47,550"
129081,FL,MANATEE COUNTY,"196,695"
129083,FL,MARION COUNTY,"226,576"
129085,FL,Martin County,"119,582"
129086,FL,MIAMI‐DADE COUNTY,"6,132,879"
129087,FL,Monroe County,"184,208"
129089,FL,Nassau County,"71,183"
129091,FL,Okaloosa County,"136,332"
129093,FL,Okeechobee County,"62,901"
129095,FL,ORANGE COUNTY,"2,104,991"
129097,FL,Osceola County,"165,930"
129099,FL,PALM BEACH COUNTY,"2,327,614"
129101,FL,PASCO COUNTY,"894,815"
129103,FL,PINELLAS COUNTY,"1,023,810"
129105,FL,POLK COUNTY,"1,014,048"
129107,FL,Putnam County,"123,688"
129109,FL,St. Johns County,"202,569"
129111,FL,St. Lucie County,"71,291"
129113,FL,Santa Rosa County,"114,641"
129115,FL,SARASOTA COUNTY,"180,311"
129117,FL,SEMINOLE COUNTY,"824,144"
129119,FL,Sumter County,"70,589"
129121,FL,Suwannee County,"63,242"
129123,FL,Taylor County,"40,743"
129125,FL,Union County,"14,954"
129127,FL,VOLUSIA COUNTY,"665,992"
129129,FL,Wakulla County,"24,408"
129131,FL,Walton County,"66,706"
129133,FL,Washington County,"43,382"
130054,GA,ALBANY,"146,638"
130168,GA,ATHENS‐CLARKE,"187,464"
130174,GA,ATLANTA,"2,722,307"
130192,GA,AUGUSTA,"772,700"
130444,GA,BRUNSWICK,"55,743"
130750,GA,COLUMBUS‐MUSCOGE,"614,165"
130882,GA,DALTON,"51,879"
131314,GA,GAINESVILLE,"51,109"
131566,GA,HINESVILLE,"38,309"
