KEY,CNSRTKEY,NAME,STA,CDBG19,HOME19,ESG19,HOPWA19,HTF19
220924,,Kenner,LA,452071,$0,0,$0,$0
220954,,Lafayette,LA,1399746,"$568,848",0,$0,$0
220978,,Lake Charles,LA,651664,"$330,289",0,$0,$0
221206,,Monroe,LA,708785,"$297,074",0,$0,$0
221296,,New Orleans,LA,10809316,"$2,480,930",1055099,"$3,874,449",$0
221650,,Shreveport,LA,1863005,"$882,109",153468,$0,$0
221698,,Slidell,LA,180733,$0,0,$0,$0
221794,,Thibodaux,LA,153124,$0,0,$0,$0
229051,22C122,Jefferson Parish,LA,2495382,"$1,437,886",218834,$0,$0
229103,,St. Tammany Parish,LA,1133222,$0,0,$0,$0
229999,,Louisiana Nonentitlement,LA,21844814,"$9,346,837",2387677,"$1,969,254","$3,000,000"
230120,23C052,Auburn,ME,544099,"$442,773",0,$0,$0
230162,,Bangor,ME,837680,$0,0,$0,$0
230252,,Biddeford,ME,467761,$0,0,$0,$0
231602,,Lewiston,ME,887262,$0,0,$0,$0
232484,23C982,Portland,ME,1893566,"$1,020,693",160873,$0,$0
239005,,Cumberland County,ME,1523331,$0,0,$0,$0
239999,,Maine Nonentitlement,ME,11566645,"$4,060,519",1352454,$0,"$3,000,000"
240036,,Annapolis,MD,284361,$0,0,$0,$0
240066,,Baltimore,MD,21689474,"$4,126,247",1817160,"$8,380,304",$0
240156,,Bowie City,MD,188505,$0,0,$0,$0
240378,,Cumberland,MD,789841,$0,0,$0,$0
240552,,Frederick,MD,430109,$0,0,"$1,518,159",$0
240582,,Gaithersburg,MD,404050,$0,0,$0,$0
240660,,Hagerstown,MD,771221,$0,0,$0,$0
241278,,Salisbury,MD,349401,$0,0,$0,$0
249003,,Anne Arundel County,MD,2017439,"$707,906",166664,$0,$0
249005,,Baltimore County,MD,4062385,"$1,897,133",344505,$0,$0
249025,,Harford County,MD,1058617,"$438,800",0,$0,$0
249027,,Howard County,MD,1246937,"$422,239",0,$0,$0
249031,,Montgomery County,MD,4748629,"$1,819,042",393484,$0,$0
249033,,Prince Georges County,MD,5029514,"$1,443,440",423194,$0,$0
249999,,Maryland Nonentitlement,MD,7780502,"$5,762,762",1121541,"$517,529","$3,391,627"
250078,,Arlington,MA,1099358,$0,0,$0,$0
250126,,Attleboro,MA,422469,$0,0,$0,$0
250168,,Barnstable,MA,278102,$0,0,$0,$0
250282,,Boston,MA,17146361,"$5,336,980",1461960,"$2,894,494",$0
250354,,Brockton,MA,1403876,"$504,903",0,$0,$0
250372,,Brookline,MA,1371270,$0,0,$0,$0
250396,,Cambridge,MA,2600557,"$580,625",226672,$0,$0
250486,,Chicopee,MA,1147243,$0,0,$0,$0
250744,,Fall River,MA,2858266,"$972,051",244889,$0,$0
250774,25C101,Fitchburg,MA,974302,"$480,057",0,$0,$0
250804,,Framingham,MA,536287,$0,0,$0,$0
250858,,Gloucester,MA,662525,$0,0,$0,$0
251020,,Haverhill,MA,985154,$0,0,$0,$0
251074,25C002,Holyoke,MA,1230342,"$804,038",0,$0,$0
251194,,Lawrence,MA,1737175,"$825,550",147883,$0,$0
251236,,Leominster,MA,452903,$0,0,$0,$0
251284,,Lowell,MA,2088760,"$801,218",175066,"$1,600,338",$0
251302,,Lynn,MA,2478890,"$810,804",211680,$0,$0
251314,25C004,Malden,MA,1349916,"$1,887,035",0,$0,$0
251410,,Medford,MA,1543114,$0,0,$0,$0
251614,,New Bedford,MA,2658238,"$845,944",223212,$0,$0
251650,25C003,Newton,MA,1908942,"$1,431,246",162765,$0,$0
251674,,Northampton,MA,670267,$0,0,$0,$0
251884,25C102,Peabody City,MA,431063,"$1,704,958",0,$0,$0
251938,,Pittsfield,MA,1300886,$0,0,$0,$0
251962,,Plymouth Town,MA,356166,$0,0,$0,$0
