Code,State,NAME,PPRN
80672,CO,Grand Junction,"$122,601 "
80690,CO,Greeley,"$230,851 "
80906,CO,Lakewood,"$240,172 "
80978,CO,Longmont,"$174,664 "
80990,CO,Loveland,"$99,137 "
81278,CO,Pueblo,"$391,803 "
81524,CO,Thornton,"$196,186 "
81614,CO,Westminster,"$155,405 "
89001,CO,Adams County,"$959,631 "
89003,CO,Alamosa County,"$46,483 "
89005,CO,Arapahoe County,"$310,657 "
89007,CO,Archuleta County,"$22,915 "
89009,CO,Baca County,"$11,940 "
89011,CO,Bent County,"$17,373 "
89013,CO,Boulder County,"$127,056 "
89015,CO,Chaffee County,"$35,340 "
89017,CO,Cheyenne County,"$5,336 "
89019,CO,Clear Creek County,"$25,731 "
89021,CO,Conejos County,"$24,093 "
89023,CO,Costilla County,"$12,718 "
89025,CO,Crowley County,"$17,286 "
89027,CO,Custer County,"$10,824 "
89029,CO,Delta County,"$72,497 "
89033,CO,Dolores County,"$4,843 "
89035,CO,Douglas County,"$259,297 "
89037,CO,Eagle County,"$85,591 "
89039,CO,Elbert County,"$30,434 "
89041,CO,El Paso County,"$259,407 "
89043,CO,Fremont County,"$92,443 "
89045,CO,Garfield County,"$124,653 "
89047,CO,Gilpin County,"$13,195 "
89049,CO,Grand County,"$33,952 "
89051,CO,Gunnison County,"$35,954 "
89053,CO,Hinsdale County,"$3,009 "
89055,CO,Huerfano County,"$33,156 "
89057,CO,Jackson County,"$6,061 "
89059,CO,Jefferson County,"$282,153 "
89061,CO,Kiowa County,"$4,400 "
89063,CO,Kit Carson County,"$17,909 "
89065,CO,Lake County,"$28,315 "
89067,CO,La Plata County,"$78,091 "
89069,CO,Larimer County,"$127,694 "
89071,CO,Las Animas County,"$60,455 "
89073,CO,Lincoln County,"$13,174 "
89075,CO,Logan County,"$56,766 "
89077,CO,Mesa County,"$141,971 "
89079,CO,Mineral County,"$3,447 "
89081,CO,Moffat County,"$20,230 "
89083,CO,Montezuma County,"$58,456 "
89085,CO,Montrose County,"$95,887 "
89087,CO,Morgan County,"$58,477 "
89089,CO,Otero County,"$70,685 "
89091,CO,Ouray County,"$9,325 "
89093,CO,Park County,"$23,600 "
89095,CO,Phillips County,"$14,826 "
89097,CO,Pitkin County,"$25,801 "
89099,CO,Prowers County,"$38,801 "
89101,CO,Pueblo County,"$67,540 "
89103,CO,Rio Blanco County,"$14,652 "
89105,CO,Rio Grande County,"$33,707 "
89107,CO,Routt County,"$36,791 "
89109,CO,Saguache County,"$20,422 "
89111,CO,San Juan County,"$5,464 "
89113,CO,San Miguel County,"$15,970 "
89115,CO,Sedgwick County,"$11,149 "
89117,CO,Summit County,"$55,352 "
89119,CO,Teller County,"$30,407 "
89121,CO,Washington County,"$16,921 "
89123,CO,Weld County,"$251,921 "
89125,CO,Yuma County,"$31,994 "
90102,CT,Bridgeport,"$2,351,704 "
90114,CT,Bristol,"$168,291 "
90258,CT,Danbury,"$171,030 "
90336,CT,East Hartford,"$149,049 "
90390,CT,Fairfield,"$136,264 "
90438,CT,Greenwich,"$215,396 "
90480,CT,Hamden Town,"$126,082 "
90492,CT,Hartford,"$2,456,247 "
90594,CT,Manchester,"$151,584 "
90612,CT,Meriden,"$282,404 "
90630,CT,Middletown,"$122,125 "
90636,CT,Milford Town,"$139,239 "
90696,CT,New Britain,"$1,153,185 "
90726,CT,New Haven,"$2,756,831 "
90738,CT,New London,"$228,099 "
90810,CT,Norwalk,"$231,849 "
90816,CT,Norwich,"$224,202 "
91074,CT,Stamford,"$243,569 "
91104,CT,Stratford,"$158,963 "
91194,CT,Waterbury,"$1,572,896 "
91230,CT,West Hartford,"$259,329 "
91236,CT,West Haven,"$194,059 "
99001,CT,Fairfield County,"$413,952 "
99003,CT,Hartford County,"$737,069 "
99005,CT,Litchfield County,"$452,854 "
99007,CT,Middlesex County,"$226,787 "
99009,CT,New Haven County,"$751,802 "
99011,CT,New London County,"$378,905 "
99013,CT,Tolland County,"$260,666 "
99015,CT,Windham County,"$325,555 "
100090,DE,Dover,"$72,645 "
100336,DE,Wilmington,"$1,599,860 "
109001,DE,Kent County,"$221,863 "
109003,DE,New Castle County,"$1,698,904 "
109005,DE,Sussex County,"$382,000 "
110006,DC,District Of Columbia,"$11,156,461 "
120234,FL,Boca Raton,"$121,124 "
120264,FL,Boynton Beach,"$145,987 "
120270,FL,Bradenton,"$113,048 "
120402,FL,Cape Coral,"$285,312 "
120492,FL,Clearwater,"$198,693 "
120516,FL,Cocoa,"$47,971 "
120534,FL,Coconut Creek,"$81,739 "
120588,FL,Coral Springs,"$206,536 "
120684,FL,Davie,"$166,822 "
120690,FL,Daytona Beach,"$176,565 "
120708,FL,Deerfield Beach,"$171,637 "
120732,FL,Delray Beach,"$137,074 "
120738,FL,Deltona,"$157,109 "
120954,FL,Ft Lauderdale,"$1,158,264 "
120966,FL,Ft Myers,"$165,771 "
120996,FL,Fort Pierce,"$147,323 "
121008,FL,Fort Walton Beach,"$37,037 "
121038,FL,Gainesville,"$361,290 "
121236,FL,Hialeah,"$1,985,711 "
121320,FL,Hollywood,"$325,371 "
121344,FL,Homestead City,"$222,795 "
121512,FL,Jupiter,"$83,382 "
