Geo_Code,STA,NAME,2014 PPRN
069019,CA,Fresno County,"$2,084,656"
069021,CA,Glenn County,"$78,333"
069023,CA,Humboldt County,"$493,320"
069025,CA,Imperial County,"$388,926"
069027,CA,Inyo County,"$46,048"
069029,CA,Kern County,"$3,143,994"
069031,CA,Kings County,"$293,431"
069033,CA,Lake County,"$169,394"
069035,CA,Lassen County,"$92,905"
069037,CA,Los Angeles County,"$14,629,817"
069039,CA,Madera County,"$203,483"
069041,CA,Marin County,"$296,186"
069043,CA,Mariposa County,"$42,607"
069045,CA,Mendocino County,"$266,644"
069047,CA,Merced County,"$530,407"
069049,CA,Modoc County,"$46,165"
069051,CA,Mono County,"$32,047"
069053,CA,Monterey County,"$459,503"
069055,CA,Napa County,"$145,264"
069057,CA,Nevada County,"$207,524"
069059,CA,Orange County,"$2,093,907"
069061,CA,Placer County,"$272,874"
069063,CA,Plumas County,"$75,864"
069065,CA,Riverside County,"$4,509,647"
069067,CA,Sacramento County,"$3,163,860"
069069,CA,San Benito County,"$129,669"
069071,CA,San Bernardino County,"$4,047,545"
069073,CA,San Diego County,"$2,342,750"
069077,CA,San Joaquin County,"$1,639,259"
069079,CA,San Luis Obispo County,"$1,151,915"
069081,CA,San Mateo County,"$1,726,438"
069083,CA,Santa Barbara County,"$1,081,553"
069085,CA,Santa Clara County,"$931,239"
069087,CA,Santa Cruz County,"$373,338"
069089,CA,Shasta County,"$200,504"
069091,CA,Sierra County,"$22,286"
069093,CA,Siskiyou County,"$195,427"
069095,CA,Solano County,"$192,547"
069097,CA,Sonoma County,"$1,091,671"
069099,CA,Stanislaus County,"$1,373,681"
069101,CA,Sutter County,"$73,894"
069103,CA,Tehama County,"$176,557"
069105,CA,Trinity County,"$34,221"
069107,CA,Tulare County,"$840,513"
069109,CA,Tuolumne County,"$144,403"
069111,CA,Ventura County,"$995,069"
069113,CA,Yolo County,"$200,264"
069115,CA,Yuba County,"$208,024"
080054,CO,Arvada,"$111,208"
080072,CO,Aurora,"$1,790,041"
080144,CO,Boulder,"$203,199"
080180,CO,Broomfield City/County,"$46,926"
080238,CO,Centennial,"$75,793"
080288,CO,Colorado Springs,"$1,617,813"
080390,CO,Denver,"$4,844,868"
080552,CO,Fort Collins,"$248,353"
080672,CO,Grand Junction,"$94,371"
080690,CO,Greeley,"$202,508"
080906,CO,Lakewood,"$222,963"
080978,CO,Longmont,"$135,250"
080990,CO,Loveland,"$73,215"
081278,CO,Pueblo,"$314,735"
081524,CO,Thornton,"$144,980"
081614,CO,Westminster,"$132,926"
089001,CO,Adams County,"$1,122,377"
089003,CO,Alamosa County,"$41,298"
089005,CO,Arapahoe County,"$264,547"
089007,CO,Archuleta County,"$19,173"
089009,CO,Baca County,"$10,901"
089011,CO,Bent County,"$17,716"
089013,CO,Boulder County,"$111,780"
089015,CO,Chaffee County,"$34,265"
089017,CO,Cheyenne County,"$5,137"
089019,CO,Clear Creek County,"$22,603"
089021,CO,Conejos County,"$23,538"
089023,CO,Costilla County,"$12,020"
089025,CO,Crowley County,"$13,667"
089027,CO,Custer County,"$9,388"
089029,CO,Delta County,"$57,004"
089033,CO,Dolores County,"$3,989"
089035,CO,Douglas County,"$192,528"
089037,CO,Eagle County,"$79,433"
089039,CO,Elbert County,"$19,596"
089041,CO,El Paso County,"$221,338"
089043,CO,Fremont County,"$79,973"
089045,CO,Garfield County,"$88,761"
089047,CO,Gilpin County,"$10,272"
089049,CO,Grand County,"$15,962"
089051,CO,Gunnison County,"$24,988"
089053,CO,Hinsdale County,"$3,566"
089055,CO,Huerfano County,"$26,531"
089057,CO,Jackson County,"$4,645"
089059,CO,Jefferson County,"$236,875"
089061,CO,Kiowa County,"$5,013"
089063,CO,Kit Carson County,"$16,779"
089065,CO,Lake County,"$25,983"
089067,CO,La Plata County,"$74,401"
089069,CO,Larimer County,"$114,795"
089071,CO,Las Animas County,"$55,016"
089073,CO,Lincoln County,"$12,787"
089075,CO,Logan County,"$44,408"
089077,CO,Mesa County,"$126,025"
089079,CO,Mineral County,"$3,616"
089081,CO,Moffat County,"$19,609"
089083,CO,Montezuma County,"$57,599"
089085,CO,Montrose County,"$60,511"
089087,CO,Morgan County,"$55,195"
089089,CO,Otero County,"$58,819"
089091,CO,Ouray County,"$7,544"
089093,CO,Park County,"$18,462"
089095,CO,Phillips County,"$11,506"
089097,CO,Pitkin County,"$20,806"
089099,CO,Prowers County,"$33,949"
089101,CO,Pueblo County,"$60,879"
089103,CO,Rio Blanco County,"$9,196"
089105,CO,Rio Grande County,"$32,559"
089107,CO,Routt County,"$24,892"
089109,CO,Saguache County,"$18,952"
089111,CO,San Juan County,"$4,181"
089113,CO,San Miguel County,"$15,720"
089115,CO,Sedgwick County,"$9,329"
089117,CO,Summit County,"$27,982"
089119,CO,Teller County,"$26,158"
089121,CO,Washington County,"$13,671"
089123,CO,Weld County,"$200,034"
089125,CO,Yuma County,"$21,251"
090102,CT,Bridgeport,"$1,930,560"
090114,CT,Bristol,"$131,102"
090258,CT,Danbury,"$135,756"
090336,CT,East Hartford,"$132,111"
090390,CT,Fairfield,"$109,530"
090438,CT,Greenwich,"$185,074"
090480,CT,Hamden Town,"$88,315"
090492,CT,Hartford,"$2,469,801"
090594,CT,Manchester,"$132,661"
090612,CT,Meriden,"$197,127"
090630,CT,Middletown,"$101,138"
090636,CT,Milford Town,"$113,532"
090696,CT,New Britain,"$1,052,957"
090726,CT,New Haven,"$2,250,607"
090738,CT,New London,"$171,655"
090810,CT,Norwalk,"$215,881"
090816,CT,Norwich,"$186,909"
091074,CT,Stamford,"$222,879"
091104,CT,Stratford,"$126,059"
091194,CT,Waterbury,"$1,307,749"
091230,CT,West Hartford,"$205,225"
091236,CT,West Haven,"$146,890"
099001,CT,Fairfield County,"$331,015"
099003,CT,Hartford County,"$577,495"
099005,CT,Litchfield County,"$368,926"
099007,CT,Middlesex County,"$165,604"
099009,CT,New Haven County,"$566,049"
099011,CT,New London County,"$299,171"
099013,CT,Tolland County,"$245,421"
099015,CT,Windham County,"$276,427"
100090,DE,Dover,"$57,611"
100336,DE,Wilmington,"$1,481,411"
109001,DE,Kent County,"$173,662"
109003,DE,New Castle County,"$1,450,790"
109005,DE,Sussex County,"$282,582"
110006,DC,District Of Columbia,"$9,682,490"
120234,FL,Boca Raton,"$100,285"
120264,FL,Boynton Beach,"$111,974"
120270,FL,Bradenton,"$100,541"
120402,FL,Cape Coral,"$187,139"
120492,FL,Clearwater,"$182,876"
120516,FL,Cocoa,"$50,966"
120534,FL,Coconut Creek,"$59,381"
120588,FL,Coral Springs,"$148,969"
120684,FL,Davie,"$132,096"
120690,FL,Daytona Beach,"$141,323"
120708,FL,Deerfield Beach,"$142,902"
120732,FL,Delray Beach,"$104,942"
120738,FL,Deltona,"$112,226"
120954,FL,Ft Lauderdale,"$1,078,053"
120966,FL,Ft Myers,"$167,663"
120996,FL,Fort Pierce,"$123,372"
121008,FL,Fort Walton Beach,"$31,634"
121038,FL,Gainesville,"$331,070"
121236,FL,Hialeah,"$1,397,353"
121320,FL,Hollywood,"$259,627"
121344,FL,Homestead City,"$190,082"
121512,FL,Jupiter,"$61,752"
121572,FL,Kissimmee,"$131,584"
121662,FL,Lakeland,"$173,464"
121710,FL,Largo,"$110,666"
121728,FL,Lauderhill,"$171,736"
121874,FL,Marco Island City,"$20,450"
121878,FL,Margate,"$71,355"
121926,FL,Melbourne,"$112,751"
121968,FL,Miami,"$3,457,791"
121974,FL,Miami Beach,"$633,479"
121976,FL,Miami Gardens City,"$239,767"
122022,FL,Miramar,"$163,594"
122064,FL,Naples,"$26,883"
122142,FL,North Miami,"$188,875"
122214,FL,Ocala,"$112,745"
122292,FL,Orlando,"$1,279,157"
122358,FL,Palm Bay,"$140,027"
122374,FL,Palm Coast,"$96,864"
122406,FL,Panama City,"$77,645"
122448,FL,Pembroke Pines,"$168,116"
122466,FL,Pensacola,"$174,972"
122514,FL,Plantation,"$96,309"
122538,FL,Pompano Beach,"$218,858"
122568,FL,Port Orange,"$66,790"
122586,FL,Port St Lucie,"$191,975"
122598,FL,Punta Gorda,"$16,786"
122724,FL,St Petersburg,"$1,089,937"
122754,FL,Sanford,"$99,188"
122766,FL,Sarasota,"$98,289"
122958,FL,Sunrise,"$130,318"
123000,FL,Tallahassee,"$1,180,772"
123006,FL,Tamarac,"$78,052"
123012,FL,Tampa,"$1,889,673"
123048,FL,Titusville,"$63,425"
123213,FL,Wellington,"$58,218"
123249,FL,Weston City,"$52,968"
123252,FL,West Palm Beach,"$208,438"
123342,FL,Winter Haven,"$77,936"
129001,FL,Alachua County,"$230,518"
129003,FL,Baker County,"$53,157"
129005,FL,Bay County,"$214,244"
129007,FL,Bradford County,"$57,790"
129009,FL,Brevard County,"$299,662"
129011,FL,Broward County,"$1,601,025"
129013,FL,Calhoun County,"$33,369"
129015,FL,Charlotte County,"$182,389"
129017,FL,Citrus County,"$224,627"
129019,FL,Clay County,"$236,265"
129021,FL,Collier County,"$1,266,039"
129023,FL,Columbia County,"$146,233"
129027,FL,Desoto County,"$121,399"
129029,FL,Dixie County,"$27,447"
129031,FL,Jacksonville‐Duval Count,"$3,750,810"
129033,FL,Escambia County,"$1,173,511"
129035,FL,Flagler County,"$27,347"
129037,FL,Franklin County,"$58,257"
129039,FL,Gadsden County,"$176,438"
129041,FL,Gilchrist County,"$40,468"
129043,FL,Glades County,"$23,645"
129045,FL,Gulf County,"$47,271"
129047,FL,Hamilton County,"$46,345"
129049,FL,Hardee County,"$94,351"
129051,FL,Hendry County,"$124,536"
129053,FL,Hernando County,"$234,982"
129055,FL,Highlands County,"$207,670"
129057,FL,Hillsborough County,"$3,604,593"
129059,FL,Holmes County,"$54,236"
129061,FL,Indian River County,"$224,103"
129063,FL,Jackson County,"$127,814"
129065,FL,Jefferson County,"$58,483"
129067,FL,Lafayette County,"$25,507"
129069,FL,Lake County,"$245,423"
129071,FL,Lee County,"$1,444,323"
129073,FL,Leon County,"$126,166"
129075,FL,Levy County,"$97,030"
129077,FL,Liberty County,"$15,131"
129079,FL,Madison County,"$81,383"
129081,FL,Manatee County,"$391,895"
129083,FL,Marion County,"$381,219"
129085,FL,Martin County,"$208,371"
129086,FL,Miami‐Dade County,"$7,388,905"
129087,FL,Monroe County,"$252,636"
129089,FL,Nassau County,"$138,266"
129091,FL,Okaloosa County,"$238,519"
129093,FL,Okeechobee County,"$110,177"
129095,FL,Orange County,"$3,319,076"
129097,FL,Osceola County,"$311,502"
129099,FL,Palm Beach County,"$3,755,853"
129101,FL,Pasco County,"$1,688,740"
129103,FL,Pinellas County,"$1,664,040"
129105,FL,Polk County,"$2,005,570"
129107,FL,Putnam County,"$210,896"
129109,FL,St. Johns County,"$303,613"
129111,FL,St. Lucie County,"$99,402"
129113,FL,Santa Rosa County,"$210,345"
129115,FL,Sarasota County,"$370,523"
129117,FL,Seminole County,"$1,182,391"
129119,FL,Sumter County,"$182,927"
129121,FL,Suwannee County,"$99,415"
129123,FL,Taylor County,"$70,457"
129125,FL,Union County,"$27,671"
129127,FL,Volusia County,"$1,134,406"
129129,FL,Wakulla County,"$52,225"
129131,FL,Walton County,"$124,072"
129133,FL,Washington County,"$66,300"
130054,GA,Albany,"$191,848"
130168,GA,Athens‐Clarke County,"$322,968"
130174,GA,Atlanta,"$5,415,524"
130192,GA,Augusta‐Richmond County,"$1,199,939"
130444,GA,Brunswick,"$83,804"
130750,GA,Columbus‐Muscogee County,"$980,810"
130882,GA,Dalton,"$95,178"
131314,GA,Gainesville,"$96,587"
131566,GA,Hinesville,"$55,997"
131713,GA,Johns Creek City,"$57,586"
131968,GA,Macon,"$257,012"
131998,GA,Marietta,"$143,764"
132814,GA,Rome,"$97,500"
132832,GA,Roswell,"$106,078"
132890,GA,Sandy Springs City,"$107,119"
132916,GA,Savannah,"$1,470,578"
133000,GA,Smyrna City,"$86,385"
