Geo Code,City,State,FY 2016 PPRN
129037,Franklin County,FL,"$74,170"
129039,Gadsden County,FL,"$166,445"
129041,Gilchrist County,FL,"$41,816"
129043,Glades County,FL,"$29,682"
129045,Gulf County,FL,"$37,779"
129047,Hamilton County,FL,"$49,189"
129049,Hardee County,FL,"$99,048"
129051,Hendry County,FL,"$125,600"
129053,Hernando County,FL,"$300,259"
129055,Highlands County,FL,"$224,481"
129057,Hillsborough County,FL,"$4,253,433"
129059,Holmes County,FL,"$56,926"
129061,Indian River County,FL,"$227,456"
129063,Jackson County,FL,"$148,428"
129065,Jefferson County,FL,"$69,936"
129067,Lafayette County,FL,"$32,658"
129069,Lake County,FL,"$300,146"
129071,Lee County,FL,"$1,839,153"
129073,Leon County,FL,"$135,647"
129075,Levy County,FL,"$102,902"
129077,Liberty County,FL,"$26,710"
129079,Madison County,FL,"$79,378"
129081,Manatee County,FL,"$1,174,408"
129083,Marion County,FL,"$1,282,992"
129085,Martin County,FL,"$237,596"
129086,Miami-Dade County,FL,"$7,934,353"
129087,Monroe County,FL,"$320,938"
129089,Nassau County,FL,"$152,762"
129091,Okaloosa County,FL,"$282,521"
129093,Okeechobee County,FL,"$134,829"
129095,Orange County,FL,"$3,955,393"
129097,Osceola County,FL,"$360,488"
129099,Palm Beach County,FL,"$4,168,318"
129101,Pasco County,FL,"$1,837,332"
129103,Pinellas County,FL,"$1,745,126"
129105,Polk County,FL,"$2,163,356"
129107,Putnam County,FL,"$246,208"
129109,St. Johns County,FL,"$356,715"
129111,St. Lucie County,FL,"$114,704"
129113,Santa Rosa County,FL,"$231,235"
129115,Sarasota County,FL,"$1,125,334"
129117,Seminole County,FL,"$1,211,542"
129119,Sumter County,FL,"$142,113"
129121,Suwannee County,FL,"$115,414"
129123,Taylor County,FL,"$78,436"
129125,Union County,FL,"$31,633"
129127,Volusia County,FL,"$1,236,762"
129129,Wakulla County,FL,"$52,603"
129131,Walton County,FL,"$132,125"
129133,Washington County,FL,"$82,702"
130054,Albany,GA,"$235,366"
130168,Athens-Clarke County,GA,"$322,555"
130174,Atlanta,GA,"$4,871,670"
130192,Augusta-Richmond County,GA,"$1,224,931"
130444,Brunswick,GA,"$89,484"
130750,Columbus-Muscogee County,GA,"$950,635"
130882,Dalton,GA,"$103,565"
131314,Gainesville,GA,"$117,881"
131566,Hinesville,GA,"$58,693"
131968,Macon-Bibb Consolidated,GA,"$1,188,495"
