Geo Code,Jurisdiction,State,FY 2015 PPRN
063564,South San Francisco,CA,"$103,858"
063624,Stockton,CA,"$2,229,706"
063660,Sunnyvale,CA,"$253,252"
063712,Temecula,CA,"$135,425"
063732,Thousand Oaks,CA,"$138,715"
063744,Torrance,CA,"$212,663"
063768,Tulare,CA,"$153,587"
063798,Turlock,CA,"$134,805"
063804,Tustin,CA,"$171,418"
063846,Union City,CA,"$112,421"
063852,Upland,CA,"$128,726"
063858,Vacaville,CA,"$102,592"
063876,Vallejo,CA,"$234,971"
063888,San Buenaventura,CA,"$184,019"
063900,Victorville,CA,"$266,392"
063918,Visalia,CA,"$267,040"
063924,Vista,CA,"$212,625"
063942,Walnut Creek,CA,"$57,801"
063966,Watsonville,CA,"$186,469"
064002,West Covina,CA,"$196,537"
064014,Westminster,CA,"$232,877"
064074,Whittier,CA,"$174,443"
064134,Woodland,CA,"$111,081"
064158,Yorba Linda,CA,"$49,198"
064176,Yuba City,CA,"$136,472"
069001,Alameda County,CA,"$1,066,975"
069003,Alpine County,CA,"$4,125"
069005,Amador County,CA,"$108,234"
069007,Butte County,CA,"$297,282"
069009,Calaveras County,CA,"$98,461"
069011,Colusa County,CA,"$70,250"
069013,Contra Costa County,CA,"$2,003,583"
069015,Del Norte County,CA,"$72,932"
069017,El Dorado County,CA,"$295,925"
069019,Fresno County,CA,"$2,137,254"
069021,Glenn County,CA,"$95,873"
069023,Humboldt County,CA,"$495,010"
069025,Imperial County,CA,"$401,617"
069027,Inyo County,CA,"$49,615"
069029,Kern County,CA,"$3,133,020"
069031,Kings County,CA,"$274,567"
069033,Lake County,CA,"$179,563"
069035,Lassen County,CA,"$98,256"
069037,Los Angeles County,CA,"$14,192,204"
069039,Madera County,CA,"$211,438"
069041,Marin County,CA,"$319,504"
069043,Mariposa County,CA,"$47,438"
069045,Mendocino County,CA,"$274,792"
069047,Merced County,CA,"$555,747"
069049,Modoc County,CA,"$53,576"
069051,Mono County,CA,"$41,663"
069053,Monterey County,CA,"$215,324"
069055,Napa County,CA,"$141,869"
069057,Nevada County,CA,"$232,908"
069059,Orange County,CA,"$2,048,139"
069061,Placer County,CA,"$282,509"
069063,Plumas County,CA,"$83,337"
069065,Riverside County,CA,"$4,749,334"
069067,Sacramento County,CA,"$3,241,441"
069069,San Benito County,CA,"$129,580"
069071,San Bernardino County,CA,"$4,070,181"
069073,San Diego County,CA,"$2,418,172"
069077,San Joaquin County,CA,"$1,630,253"
069079,San Luis Obispo County,CA,"$1,095,607"
069081,San Mateo County,CA,"$1,611,240"
069083,Santa Barbara County,CA,"$1,017,526"
069085,Santa Clara County,CA,"$979,034"
069087,Santa Cruz County,CA,"$387,837"
069089,Shasta County,CA,"$197,878"
069091,Sierra County,CA,"$21,692"
069093,Siskiyou County,CA,"$189,745"
069095,Solano County,CA,"$196,616"
069097,Sonoma County,CA,"$1,088,618"
069099,Stanislaus County,CA,"$1,439,831"
069101,Sutter County,CA,"$77,871"
069103,Tehama County,CA,"$187,647"
069105,Trinity County,CA,"$46,584"
069107,Tulare County,CA,"$882,338"
069109,Tuolumne County,CA,"$139,653"
069111,Ventura County,CA,"$1,031,096"
069113,Yolo County,CA,"$202,346"
069115,Yuba County,CA,"$223,472"
080054,Arvada,CO,"$114,089"
080072,Aurora,CO,"$1,825,287"
080144,Boulder,CO,"$179,420"
080180,Broomfield City/County,CO,"$50,162"
