Geo Code,State,Name,FY 2017 PPRN,
089095,CO,Phillips County,"$14,803"
089097,CO,Pitkin County,"$27,423"
089099,CO,Prowers County,"$40,979"
089101,CO,Pueblo County,"$64,558"
089103,CO,Rio Blanco County,"$13,242"
089105,CO,Rio Grande County,"$32,526"
089107,CO,Routt County,"$30,044"
089109,CO,Saguache County,"$19,527"
089111,CO,San Juan County,"$4,555"
089113,CO,San Miguel County,"$14,116"
089115,CO,Sedgwick County,"$10,207"
089117,CO,Summit County,"$52,225"
089119,CO,Teller County,"$28,290"
089121,CO,Washington County,"$16,554"
089123,CO,Weld County,"$260,934"
089125,CO,Yuma County,"$25,120"
090102,CT,Bridgeport,"$2,078,711"
090114,CT,Bristol,"$159,343"
090258,CT,Danbury,"$158,841"
090336,CT,East Hartford,"$137,621"
090390,CT,Fairfield,"$129,341"
090438,CT,Greenwich,"$204,163"
090480,CT,Hamden Town,"$107,237"
090492,CT,Hartford,"$2,363,075"
090594,CT,Manchester,"$147,724"
090612,CT,Meriden,"$246,574"
090630,CT,Middletown,"$111,822"
090636,CT,Milford Town,"$122,198"
090696,CT,New Britain,"$1,070,374"
090726,CT,New Haven,"$2,587,689"
090738,CT,New London,"$204,538"
090810,CT,Norwalk,"$236,112"
090816,CT,Norwich,"$215,195"
091074,CT,Stamford,"$241,894"
091104,CT,Stratford,"$152,366"
091194,CT,Waterbury,"$1,444,425"
091230,CT,West Hartford,"$241,500"
091236,CT,West Haven,"$166,857"
099001,CT,Fairfield County,"$384,340"
099003,CT,Hartford County,"$663,920"
099005,CT,Litchfield County,"$415,859"
099007,CT,Middlesex County,"$199,826"
099009,CT,New Haven County,"$729,539"
099011,CT,New London County,"$349,675"
099013,CT,Tolland County,"$254,678"
099015,CT,Windham County,"$320,003"
100090,DE,Dover,"$62,987"
100336,DE,Wilmington,"$1,528,262"
109001,DE,Kent County,"$199,500"
109003,DE,New Castle County,"$1,580,266"
109005,DE,Sussex County,"$363,446"
110006,DC,District Of Columbia,"$10,380,705"
120234,FL,Boca Raton,"$114,641"
120264,FL,Boynton Beach,"$137,574"
120270,FL,Bradenton,"$106,513"
120402,FL,Cape Coral,"$259,780"
120492,FL,Clearwater,"$184,478"
120516,FL,Cocoa,"$46,859"
120534,FL,Coconut Creek,"$72,862"
120588,FL,Coral Springs,"$176,589"
120684,FL,Davie,"$151,353"
120690,FL,Daytona Beach,"$161,525"
120708,FL,Deerfield Beach,"$168,002"
120732,FL,Delray Beach,"$120,443"
120738,FL,Deltona,"$128,696"
120954,FL,Ft Lauderdale,"$1,087,224"
120966,FL,Ft Myers,"$177,166"
120996,FL,Fort Pierce,"$133,992"
121008,FL,Fort Walton Beach,"$31,126"
121038,FL,Gainesville,"$334,806"
121236,FL,Hialeah,"$1,668,531"
121320,FL,Hollywood,"$294,599"
121344,FL,Homestead City,"$213,601"
121512,FL,Jupiter,"$74,077"
121572,FL,Kissimmee,"$153,044"
121662,FL,Lakeland,"$230,872"
121710,FL,Largo,"$127,357"
121728,FL,Lauderhill,"$186,027"
121874,FL,Marco Island City,"$19,773"
121878,FL,Margate,"$91,591"
